row_id,service_year,county_code,county_name,payer,age_group_code,age_group_name,sex,unique_member_cnt,util_category,util_cnt,encounter_count,member_months,total_paid_amt_sum,total_paid_amt_mean,total_paid_amt_med,insurer_paid_amt_sum,insurer_paid_amt_mean,insurer_paid_amt_med,member_paid_amt_sum,member_paid_amt_mean,member_paid_amt_med
102452,2016,007,Beltrami,MEDICARE,4,65 - 74 years,F,615,Other,"5,833","3,158","7,321","$495,894.04",$157.03,$55.32,"$458,428.64",$145.16,$54.28,"$37,465.40",$11.86,$0.00
103196,2016,011,Big Stone,MEDICARE,5,75 years and older,M,72,DME (Durable Medical Equipment),641,467,821,"$45,666.13",$97.79,$89.13,"$38,352.74",$82.13,$67.90,"$7,313.39",$15.66,$4.16
104012,2016,017,Carlton,COMMERCIAL,1,18 years and under,M,25,DME (Durable Medical Equipment),194,86,251,"$29,353.22",$341.32,$92.62,"$27,731.34",$322.46,$80.62,"$1,621.88",$18.86,$0.00
104804,2016,019,Carver,MEDICARE,5,75 years and older,M,89,Hospice,"5,608",251,717,"$941,233.40","$3,749.93","$4,671.55","$941,233.40","$3,749.93","$4,671.55",$0.00,$0.00,$0.00
105788,2016,025,Chisago,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,15,Inpatient Non-acute,729,201,177,"$76,853.45",$382.36,$191.83,"$76,853.45",$382.36,$191.83,$0.00,$0.00,$0.00
106556,2016,029,Clearwater,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,F,27,Other,"3,238","2,196",319,"$220,389.22",$100.36,$85.60,"$217,152.47",$98.89,$85.60,"$3,236.75",$1.47,$0.00
107756,2016,035,Crow Wing,MEDICARE,5,75 years and older,M,"1,121",Emergency department,"8,516","2,370","12,806","$658,063.92",$277.66,$188.54,"$596,593.72",$251.73,$164.74,"$61,470.20",$25.94,$1.20
108380,2016,039,Dodge,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,42,Ambulance,719,320,466,"$34,567.93",$108.02,$45.53,"$34,553.18",$107.98,$45.53,$14.75,$0.05,$0.00
109220,2016,043,Faribault,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,F,20,Inpatient Non-acute Professional Services,448,355,216,"$22,257.78",$62.70,$42.90,"$22,257.78",$62.70,$42.90,$0.00,$0.00,$0.00
110132,2016,049,Goodhue,COMMERCIAL,1,18 years and under,F,62,Hospital Inpatient,436,72,477,"$602,800.54","$8,372.23","$3,379.08","$544,426.13","$7,561.47","$2,538.50","$58,374.41",$810.76,$485.67
101395,2016,003,Anoka,COMMERCIAL,5,75 years and older,M,50,Hospital Inpatient Professional Services,980,411,534,"$115,293.76",$280.52,$39.70,"$110,677.96",$269.29,$39.70,"$4,615.80",$11.23,$0.00
102187,2016,007,Beltrami,COMMERCIAL,4,65 - 74 years,M,13,Ambulatory Surgery,27,13,156,"$10,822.08",$832.47,$32.72,"$7,776.18",$598.17,$32.72,"$3,045.90",$234.30,$0.00
102883,2016,009,Benton,MEDICARE,5,75 years and older,F,221,Inpatient Non-acute Professional Services,"3,060","2,246","2,414","$258,032.35",$114.89,$96.25,"$239,596.51",$106.68,$88.39,"$18,435.84",$8.21,$0.00
103747,2016,015,Brown,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,24,Independent Lab,97,40,262,"$4,929.08",$123.23,$95.52,"$4,929.08",$123.23,$95.52,$0.00,$0.00,$0.00
104659,2016,019,Carver,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,M,35,Other,"3,662","2,556",394,"$730,431.40",$285.77,$90.06,"$729,953.43",$285.58,$90.06,$477.97,$0.19,$0.00
105523,2016,023,Chippewa,MEDICARE,4,65 - 74 years,F,51,Independent Lab,299,79,609,"$10,072.76",$127.50,$24.55,"$10,057.90",$127.32,$24.55,$14.86,$0.19,$0.00
106339,2016,027,Clay,MEDICARE,5,75 years and older,F,"1,644",Clinic/Office,"26,466","10,278","19,331","$1,609,905.34",$156.64,$78.14,"$1,352,329.94",$131.58,$63.36,"$257,575.40",$25.06,$8.20
107467,2016,035,Crow Wing,COMMERCIAL,4,65 - 74 years,M,136,Hospital Outpatient,"3,756",975,"1,608","$450,870.90",$462.43,$65.77,"$385,755.44",$395.65,$32.42,"$65,115.46",$66.79,$0.00
108139,2016,037,Dakota,MEDICARE,3,45 - 64 years,M,"1,139",Emergency department,"10,544","2,728","13,172","$558,038.19",$204.56,$172.60,"$461,323.96",$169.11,$136.66,"$96,714.23",$35.45,$33.49
109147,2016,043,Faribault,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,30,Independent Lab,160,74,311,"$7,834.81",$105.88,$111.60,"$7,834.81",$105.88,$111.60,$0.00,$0.00,$0.00
110035,2016,047,Freeborn,MEDICARE,3,45 - 64 years,F,55,Ambulance,226,89,639,"$92,612.23","$1,040.59",$496.01,"$78,756.53",$884.90,$463.89,"$13,855.70",$155.68,$91.56
110996,2016,053,Hennepin,COMMERCIAL,5,75 years and older,M,"1,012",Clinic/Office,"20,881","8,928","11,580","$1,419,287.41",$158.97,$61.33,"$1,187,647.18",$133.02,$33.94,"$231,640.23",$25.95,$0.00
111812,2016,057,Hubbard,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,168,Hospital Inpatient Professional Services,"1,147",500,"1,818","$132,082.68",$264.17,$122.35,"$132,032.08",$264.06,$122.35,$50.60,$0.10,$0.00
112700,2016,061,Itasca,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,F,136,Other,"6,582","4,850","1,520","$1,275,248.86",$262.94,$76.38,"$1,246,839.85",$257.08,$76.38,"$28,409.01",$5.86,$0.00
102698,2016,009,Benton,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,105,Ambulance,"3,876","1,346","1,192","$96,376.48",$71.60,$32.40,"$96,364.68",$71.59,$32.40,$11.80,$0.01,$0.00
103610,2016,013,Blue Earth,MEDICARE,5,75 years and older,M,189,Inpatient Non-acute,"4,838",910,"2,082","$2,602,916.51","$2,860.35",$147.88,"$2,266,102.97","$2,490.22",$135.98,"$336,813.54",$370.12,$0.00
104354,2016,017,Carlton,MEDICARE,4,65 - 74 years,M,74,Ambulatory Surgery,375,98,884,"$200,724.71","$2,048.21","$1,704.35","$187,545.67","$1,913.73","$1,403.32","$13,179.04",$134.48,$65.00
105146,2016,021,Cass,MEDICARE,3,45 - 64 years,M,98,Hospital Inpatient,"2,514",186,"1,148","$2,480,852.94","$13,337.92","$9,940.55","$2,337,455.91","$12,566.97","$9,074.46","$143,397.03",$770.95,"$1,288.00"
106130,2016,027,Clay,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,"2,509",Hospital Outpatient,"29,925","11,381","26,240","$1,993,309.10",$175.14,$115.00,"$1,993,309.10",$175.14,$115.00,$0.00,$0.00,$0.00
107090,2016,033,Cottonwood,COMMERCIAL,4,65 - 74 years,M,12,Hospital Outpatient,155,38,144,"$74,048.24","$1,948.64",$434.52,"$68,982.82","$1,815.34",$290.04,"$5,065.42",$133.30,$0.00
107906,2016,037,Dakota,COMMERCIAL,5,75 years and older,M,27,Ambulatory Surgery,153,36,314,"$32,131.31",$892.54,$440.65,"$31,126.15",$864.62,$364.86,"$1,005.16",$27.92,$0.00
108602,2016,041,Douglas,COMMERCIAL,1,18 years and under,M,21,DME (Durable Medical Equipment),82,59,217,"$30,396.88",$515.20,$23.85,"$28,141.28",$476.97,$12.62,"$2,255.60",$38.23,$0.00
109538,2016,045,Fillmore,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,94,Emergency department,547,193,"1,045","$63,914.22",$331.16,$183.31,"$63,624.98",$329.66,$180.92,$289.24,$1.50,$0.00
110426,2016,049,Goodhue,MEDICARE,2,19 - 44 years,M,14,Hospital Inpatient,593,38,165,"$794,952.44","$20,919.80","$11,460.77","$716,757.62","$18,862.04","$10,657.51","$78,194.82","$2,057.76",$966.00
111290,2016,053,Hennepin,MEDICARE,5,75 years and older,F,"1,568",Outpatient Other,"90,084","10,388","18,369","$5,040,632.32",$485.24,$104.99,"$4,330,960.42",$416.92,$101.37,"$709,671.90",$68.32,$0.00
112202,2016,059,Isanti,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,41,Home Health,294,270,465,"$24,105.22",$89.28,$75.02,"$24,093.42",$89.23,$75.02,$11.80,$0.04,$0.00
113114,2016,063,Jackson,MEDICARE,3,45 - 64 years,M,26,DME (Durable Medical Equipment),240,126,306,"$8,380.98",$66.52,$23.25,"$6,592.87",$52.32,$18.97,"$1,788.11",$14.19,$4.16
113954,2016,067,Kandiyohi,MEDICARE,5,75 years and older,M,443,Other,"3,643","1,921","5,172","$316,823.82",$164.93,$68.32,"$293,223.27",$152.64,$63.69,"$23,600.55",$12.29,$0.00
110894,2016,053,Hennepin,COMMERCIAL,2,19 - 44 years,F,"14,796",Independent Lab,"118,166","25,567","162,605","$7,298,573.62",$285.47,$147.22,"$6,059,811.22",$237.02,$95.27,"$1,238,762.40",$48.45,$0.00
111494,2016,055,Houston,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,168,Hospital Outpatient,"4,026",987,"1,908","$239,010.11",$242.16,$55.23,"$236,969.49",$240.09,$54.64,"$2,040.62",$2.07,$0.00
112406,2016,059,Isanti,MEDICARE,5,75 years and older,F,275,Hospital Inpatient Professional Services,"4,249","1,604","3,028","$524,548.97",$327.03,$195.18,"$486,750.70",$303.46,$170.21,"$37,798.27",$23.57,$0.00
113294,2016,065,Kanabec,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,35,Ambulance,572,335,387,"$33,160.28",$98.99,$62.55,"$33,160.28",$98.99,$62.55,$0.00,$0.00,$0.00
114518,2016,071,Koochiching,MEDICARE,2,19 - 44 years,F,31,Emergency department,488,146,362,"$17,959.76",$123.01,$71.52,"$14,548.83",$99.65,$66.98,"$3,410.93",$23.36,$0.00
116006,2016,081,Lincoln,COMMERCIAL,3,45 - 64 years,F,131,Hospital Outpatient,"2,405",603,"1,225","$570,677.70",$946.40,$318.75,"$476,682.74",$790.52,$266.66,"$93,994.96",$155.88,$0.00
116822,2016,085,McLeod,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,"1,378",Hospital Outpatient,"43,757","10,629","14,400","$2,920,735.37",$274.79,$136.54,"$2,900,331.30",$272.87,$134.27,"$20,404.07",$1.92,$0.00
117734,2016,091,Martin,COMMERCIAL,3,45 - 64 years,F,44,DME (Durable Medical Equipment),254,135,448,"$42,232.06",$312.83,$163.16,"$33,369.87",$247.18,$139.41,"$8,862.19",$65.65,$0.00
118646,2016,095,Mille Lacs,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,F,18,Other,"1,415","1,111",206,"$182,794.01",$164.53,$136.64,"$182,761.56",$164.50,$136.64,$32.45,$0.03,$0.00
119390,2016,099,Mower,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,64,Inpatient Non-acute,490,296,600,"$437,305.60","$1,477.38",$772.38,"$437,305.60","$1,477.38",$772.38,$0.00,$0.00,$0.00
120278,2016,103,Nicollet,MEDICARE,4,65 - 74 years,F,259,Independent Lab,861,385,"3,090","$26,260.45",$68.21,$22.54,"$25,793.78",$67.00,$22.54,$466.67,$1.21,$0.00
121094,2016,109,Olmsted,COMMERCIAL,3,45 - 64 years,M,20,Inpatient Non-acute Professional Services,70,66,230,"$12,110.82",$183.50,$182.70,"$12,110.82",$183.50,$182.70,$0.00,$0.00,$0.00
101487,2016,003,Anoka,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,197,Home Health,"6,558","5,187","2,254","$1,094,161.89",$210.94,$75.02,"$1,093,855.09",$210.88,$75.02,$306.80,$0.06,$0.00
102279,2016,007,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,169,Hospital Inpatient,"2,353",228,"1,691","$2,605,603.85","$11,428.09","$5,699.75","$2,603,158.70","$11,417.36","$5,699.75","$2,445.15",$10.72,$0.00
103167,2016,011,Big Stone,MEDICARE,4,65 - 74 years,M,54,Emergency department,371,89,612,"$13,813.02",$155.20,$116.15,"$11,367.15",$127.72,$95.14,"$2,445.87",$27.48,$0.00
103935,2016,015,Brown,MEDICARE,4,65 - 74 years,F,55,Ambulatory Surgery,326,76,660,"$127,579.29","$1,678.67","$1,406.27","$114,771.67","$1,510.15","$1,215.12","$12,807.62",$168.52,$58.48
104775,2016,019,Carver,MEDICARE,4,65 - 74 years,M,296,Hospital Inpatient,"6,851",501,"3,468","$5,281,272.76","$10,541.46","$9,101.54","$4,940,562.68","$9,861.40","$8,289.14","$340,710.08",$680.06,"$1,288.00"
105759,2016,025,Chisago,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,37,Inpatient Non-acute,645,314,394,"$238,859.77",$760.70,$194.64,"$238,859.77",$760.70,$194.64,$0.00,$0.00,$0.00
106695,2016,029,Clearwater,MEDICARE,5,75 years and older,F,452,Hospital Outpatient,"25,851","5,147","5,289","$1,988,309.89",$386.30,$150.12,"$1,663,220.63",$323.14,$124.43,"$325,089.26",$63.16,$5.20
107703,2016,035,Crow Wing,MEDICARE,3,45 - 64 years,M,487,Other,"3,792","1,789","5,630","$452,825.99",$253.12,$75.64,"$374,841.39",$209.53,$72.50,"$77,984.60",$43.59,$8.03
108423,2016,039,Dodge,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,18,Outpatient Other,747,399,197,"$37,451.16",$93.86,$69.36,"$37,451.16",$93.86,$69.36,$0.00,$0.00,$0.00
109359,2016,045,Fillmore,COMMERCIAL,1,18 years and under,F,173,Emergency department,627,275,"1,972","$278,623.07","$1,013.17",$952.90,"$206,075.13",$749.36,$588.77,"$72,547.94",$263.81,$150.00
110271,2016,049,Goodhue,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,107,Independent Lab,160,118,"1,166","$5,736.41",$48.61,$16.49,"$5,736.41",$48.61,$16.49,$0.00,$0.00,$0.00
111087,2016,053,Hennepin,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,"14,565",Other,"1,611,745","1,109,377","164,530","$149,306,562.60",$134.59,$80.16,"$149,231,103.10",$134.52,$79.90,"$75,459.50",$0.07,$0.00
111855,2016,057,Hubbard,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,60,Hospital Inpatient,"1,267",90,657,"$696,047.73","$7,733.86","$5,663.26","$694,097.73","$7,712.20","$5,663.26","$1,950.00",$21.67,$0.00
112695,2016,061,Itasca,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,F,19,Hospital Inpatient Professional Services,284,178,206,$543.90,$3.06,$0.00,$543.90,$3.06,$0.00,$0.00,$0.00,$0.00
113631,2016,067,Kandiyohi,COMMERCIAL,3,45 - 64 years,M,206,Other,"1,140",583,"2,155","$115,514.08",$198.14,$91.25,"$77,580.51",$133.07,$33.00,"$37,933.57",$65.07,$4.24
115191,2016,075,Lake,MEDICARE,2,19 - 44 years,F,27,Clinic/Office,509,268,324,"$25,017.71",$93.35,$71.26,"$20,698.91",$77.23,$56.25,"$4,318.80",$16.11,$12.56
